"","root","type","domain","rank_I","rank_II","rank_III","rank_IV","rank_V","rank_VI","rank_VII","rank_VIII","rank_IX","rank_X","rank_XI"
"ASV886","root","Main genome","Eukaryota","SAR","Stramenopiles","Opalozoa","Bicoecea","Bicoecales","Bicoecaceae","Bicoecaceae X","Bicoecaceae X_unclassified","Bicoecaceae X_unclassified","Bicoecaceae X_unclassified","Bicoecaceae X_unclassified"
"ASV887","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV889","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified"
"ASV890","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea","Euplotia","Aspidiscidae","Aspidisca","Aspidisca_unclassified","Aspidisca_unclassified","Aspidisca_unclassified","Aspidisca_unclassified"
"ASV891","root","Main genome","Eukaryota","SAR","Stramenopiles","Sagenista","Labyrinthulomycetes","Labyrinthulales","Labyrinthulaceae","Oblongichytrium","Oblongichytrium sp.","Oblongichytrium sp._unclassified","Oblongichytrium sp._unclassified","Oblongichytrium sp._unclassified"
"ASV893","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Maxillopoda","Harpacticoida","Dactylopusiidae","Diarthrodes","Diarthrodes_unclassified","Diarthrodes_unclassified","Diarthrodes_unclassified","Diarthrodes_unclassified"
"ASV894","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV895","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea","Spirotrichea_unclassified","Spirotrichea_unclassified","Spirotrichea_unclassified","Spirotrichea_unclassified","Spirotrichea_unclassified","Spirotrichea_unclassified","Spirotrichea_unclassified"
"ASV896","root","Main genome","Eukaryota","Amorphea","Metazoa","Platyhelminthes","Rhabditophora","Haplopharyngida","Haplopharyngidae","Haplopharynx","Haplopharynx rostratus","Haplopharynx rostratus_unclassified","Haplopharynx rostratus_unclassified","Haplopharynx rostratus_unclassified"
"ASV897","root","Main genome","Eukaryota","Amorphea","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Polycystididae","Phonorhynchus","Phonorhynchus helgolandicus","Phonorhynchus helgolandicus_unclassified","Phonorhynchus helgolandicus_unclassified","Phonorhynchus helgolandicus_unclassified"
"ASV898","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines GRE5","Gregarines GRE5 X","Gregarines GRE5 X_unclassified","Gregarines GRE5 X_unclassified","Gregarines GRE5 X_unclassified","Gregarines GRE5 X_unclassified","Gregarines GRE5 X_unclassified"
"ASV899","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Amphidinium","Amphidinium_unclassified","Amphidinium_unclassified","Amphidinium_unclassified","Amphidinium_unclassified"
"ASV900","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Uradiphoridae","Uradiphoridae_unclassified","Uradiphoridae_unclassified","Uradiphoridae_unclassified","Uradiphoridae_unclassified","Uradiphoridae_unclassified"
"ASV901","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV902","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV904","root","Main genome","Eukaryota","Amorphea","Metazoa","Xenacoelomorpha","Acoela","Isodiametridae order incertae sedis","Isodiametridae","Archaphanostoma","Archaphanostoma_unclassified","Archaphanostoma_unclassified","Archaphanostoma_unclassified","Archaphanostoma_unclassified"
"ASV905","root","Main genome","Eukaryota","SAR","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified"
"ASV906","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Maxillopoda","Maxillopoda_unclassified","Maxillopoda_unclassified","Maxillopoda_unclassified","Maxillopoda_unclassified","Maxillopoda_unclassified","Maxillopoda_unclassified","Maxillopoda_unclassified"
"ASV909","root","Main genome","Eukaryota","SAR","Stramenopiles","Opalozoa","MAST-12","MAST-12A","MAST-12A X","MAST-12A XX","MAST-12A XX sp.","MAST-12A XX sp._unclassified","MAST-12A XX sp._unclassified","MAST-12A XX sp._unclassified"
"ASV910","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Gregarinomorphea_unclassified","Gregarinomorphea_unclassified","Gregarinomorphea_unclassified","Gregarinomorphea_unclassified","Gregarinomorphea_unclassified","Gregarinomorphea_unclassified","Gregarinomorphea_unclassified"
"ASV911","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadales_unclassified","Pyramimonadales_unclassified","Pyramimonadales_unclassified","Pyramimonadales_unclassified","Pyramimonadales_unclassified","Pyramimonadales_unclassified"
"ASV912","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Dickieia","Dickieia ulvacea family incertae sedis","Dickieia ulvacea genus incertae sedis","Dickieia ulvacea genus incertae sedis_unclassified","Dickieia ulvacea genus incertae sedis_unclassified","Dickieia ulvacea genus incertae sedis_unclassified","Dickieia ulvacea genus incertae sedis_unclassified"
"ASV913","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV914","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Rhabdonema","Rhabdonema_unclassified","Rhabdonema_unclassified","Rhabdonema_unclassified","Rhabdonema_unclassified","Rhabdonema_unclassified"
"ASV915","root","Main genome","Eukaryota","Amorphea","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Trigonostomidae","Trigonostomidae_unclassified","Trigonostomidae_unclassified","Trigonostomidae_unclassified","Trigonostomidae_unclassified","Trigonostomidae_unclassified"
"ASV917","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Cephaloidophoridae","Cephaloidophora","Cephaloidophora_unclassified","Cephaloidophora_unclassified","Cephaloidophora_unclassified","Cephaloidophora_unclassified"
"ASV918","root","Main genome","Eukaryota","SAR","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified","SAR_unclassified"
"ASV920","root","Main genome","Eukaryota","Excavata","Discoba","Kinetoplastida phylum incertae sedis","Kinetoplastida class incertae sedis","Kinetoplastida","Neobodonid (family)","Neobodo","Neobodo_unclassified","Neobodo_unclassified","Neobodo_unclassified","Neobodo_unclassified"
"ASV922","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified"
"ASV923","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales_unclassified","Sphaeropleales_unclassified","Sphaeropleales_unclassified","Sphaeropleales_unclassified","Sphaeropleales_unclassified","Sphaeropleales_unclassified"
"ASV925","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Cercozoa X","Cercozoa XX","Cercozoa XXX","Cercozoa XXXX","Cercozoa XXXX sp.","Cercozoa XXXX sp._unclassified","Cercozoa XXXX sp._unclassified","Cercozoa XXXX sp._unclassified"
"ASV926","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified","Pedinellales_unclassified"
"ASV928","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Orbiniidae order incertae sedis","Orbiniidae","Scoloplos","Scoloplos armiger","Scoloplos armiger_unclassified","Scoloplos armiger_unclassified","Scoloplos armiger_unclassified"
"ASV929","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Oligohymenophorea","Frontoniidae 1","Frontonia 1","Frontonia 1_unclassified","Frontonia 1_unclassified","Frontonia 1_unclassified","Frontonia 1_unclassified","Frontonia 1_unclassified"
"ASV930","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV932","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Epithemia","Epithemia_unclassified","Epithemia_unclassified","Epithemia_unclassified","Epithemia_unclassified","Epithemia_unclassified","Epithemia_unclassified"
"ASV933","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV934","root","Main genome","Eukaryota","Hacrobia","Haptophyta kingdom incertae sedis","Haptophyta","Prymnesiophyceae","Isochrysidales","Noelaerhabdaceae","Noelaerhabdaceae_unclassified","Noelaerhabdaceae_unclassified","Noelaerhabdaceae_unclassified","Noelaerhabdaceae_unclassified","Noelaerhabdaceae_unclassified"
"ASV936","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified"
"ASV937","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Polar-centric-Mediophyceae","Porosira","Porosira_unclassified","Porosira_unclassified","Porosira_unclassified","Porosira_unclassified","Porosira_unclassified"
"ASV938","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Pheopolykrikos","Pheopolykrikos beauchampii","Pheopolykrikos beauchampii_unclassified","Pheopolykrikos beauchampii_unclassified","Pheopolykrikos beauchampii_unclassified"
"ASV939","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Phyllopharyngea","Synhymenia","Orthodonellidae","Orthodonellidae_unclassified","Orthodonellidae_unclassified","Orthodonellidae_unclassified","Orthodonellidae_unclassified","Orthodonellidae_unclassified"
"ASV940","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gonyaulacales","Goniodomataceae","Alexandrium","Alexandrium_unclassified","Alexandrium_unclassified","Alexandrium_unclassified","Alexandrium_unclassified"
"ASV943","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Heterotrichea","Folliculinidae","Folliculinidae X","Folliculinidae X sp.","Folliculinidae X sp._unclassified","Folliculinidae X sp._unclassified","Folliculinidae X sp._unclassified","Folliculinidae X sp._unclassified"
"ASV944","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendraceae","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified"
"ASV945","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Desmodorida","Desmodoridae","Desmodoridae_unclassified","Desmodoridae_unclassified","Desmodoridae_unclassified","Desmodoridae_unclassified","Desmodoridae_unclassified"
"ASV946","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV947","root","Main genome","Eukaryota","Archaeplastida","Rhodophyta","Rhodophyta (phylum)","Florideophyceae","Ceramiales","Rhodomelaceae","Rhodomelaceae_unclassified","Rhodomelaceae_unclassified","Rhodomelaceae_unclassified","Rhodomelaceae_unclassified","Rhodomelaceae_unclassified"
"ASV948","root","Main genome","Eukaryota","Excavata","Discoba","Diplonemea","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified","Diplonemea_unclassified"
"ASV951","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV954","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendraceae","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified","Chlorodendraceae_unclassified"
"ASV955","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Polyplicariidae","Polyplicarium","Polyplicarium sp.","Polyplicarium sp._unclassified","Polyplicarium sp._unclassified","Polyplicarium sp._unclassified"
"ASV956","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Prostomatea 3","Prostomatea 3 X","Holophryidae","Holophryidae_unclassified","Holophryidae_unclassified","Holophryidae_unclassified","Holophryidae_unclassified","Holophryidae_unclassified"
"ASV957","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Vampyrellida X","Vampyrellida clade B","Vampyrellida sp.","Vampyrellida sp._unclassified","Vampyrellida sp._unclassified","Vampyrellida sp._unclassified"
"ASV958","root","Main genome","Eukaryota","Amorphea","Metazoa","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified","Metazoa_unclassified"
"ASV959","root","Main genome","Eukaryota","Amorphea","Fungi","Ascomycota","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified","Ascomycota_unclassified"
"ASV960","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae X","Dinophyceae XX","Dinophyceae XXX","Dinophyceae XXX sp.","Dinophyceae XXX sp._unclassified","Dinophyceae XXX sp._unclassified","Dinophyceae XXX sp._unclassified"
"ASV961","root","Main genome","Eukaryota","Amorphea","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia_unclassified","Clytia_unclassified","Clytia_unclassified","Clytia_unclassified"
"ASV964","root","Main genome","Eukaryota","Amorphea","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Promesostomidae","Promesostoma","Promesostoma_unclassified","Promesostoma_unclassified","Promesostoma_unclassified","Promesostoma_unclassified"
"ASV965","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV968","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV970","root","Main genome","Eukaryota","SAR","Stramenopiles","Sagenista","Labyrinthulomycetes","Labyrinthulales","Labyrinthulaceae","Labyrinthulaceae X","Labyrinthulaceae X_unclassified","Labyrinthulaceae X_unclassified","Labyrinthulaceae X_unclassified","Labyrinthulaceae X_unclassified"
"ASV971","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Imbricatea","Marimonadida","Marimonadida X","Marimonadida XX","Marimonadida XX sp.","Marimonadida XX sp._unclassified","Marimonadida XX sp._unclassified","Marimonadida XX sp._unclassified"
"ASV972","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified"
"ASV974","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Gregarines GRE5","Gregarines GRE5_unclassified","Gregarines GRE5_unclassified","Gregarines GRE5_unclassified","Gregarines GRE5_unclassified","Gregarines GRE5_unclassified","Gregarines GRE5_unclassified"
"ASV976","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Monhysterida","Linhomoeidae","Linhomoeidae_unclassified","Linhomoeidae_unclassified","Linhomoeidae_unclassified","Linhomoeidae_unclassified","Linhomoeidae_unclassified"
"ASV977","root","Main genome","Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified","Dinophyceae_unclassified"
"ASV978","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV981","root","Main genome","Eukaryota","SAR","Stramenopiles","Sagenista","Labyrinthulomycetes","Labyrinthulomycetes_unclassified","Labyrinthulomycetes_unclassified","Labyrinthulomycetes_unclassified","Labyrinthulomycetes_unclassified","Labyrinthulomycetes_unclassified","Labyrinthulomycetes_unclassified","Labyrinthulomycetes_unclassified"
"ASV982","root","Main genome","Eukaryota","Excavata","Discoba","Euglenida","Eutreptiales class incertae sedis","Eutreptiales","Eutreptiales_unclassified","Eutreptiales_unclassified","Eutreptiales_unclassified","Eutreptiales_unclassified","Eutreptiales_unclassified","Eutreptiales_unclassified"
"ASV983","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Heterotrichea","Stentoridae order incertae sedis","Stentoridae","Stentor","Stentor_unclassified","Stentor_unclassified","Stentor_unclassified","Stentor_unclassified"
"ASV984","root","Main genome","Eukaryota","Amorphea","Metazoa","Rotifera","Monogononta","Monogononta_unclassified","Monogononta_unclassified","Monogononta_unclassified","Monogononta_unclassified","Monogononta_unclassified","Monogononta_unclassified","Monogononta_unclassified"
"ASV985","root","Main genome","Eukaryota","Amorphea","Fungi","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified","Fungi_unclassified"
"ASV987","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Imbricatea","Thaumatomonadida","Thaumatomonadida_unclassified","Thaumatomonadida_unclassified","Thaumatomonadida_unclassified","Thaumatomonadida_unclassified","Thaumatomonadida_unclassified","Thaumatomonadida_unclassified"
"ASV989","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Ventricleftida","Ventricleftida X","Ventricleftida XX","Ventricleftida XX sp.","Ventricleftida XX sp._unclassified","Ventricleftida XX sp._unclassified","Ventricleftida XX sp._unclassified"
"ASV993","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Radial-centric-basal-Coscinodiscophyceae","Melosira","Melosira_unclassified","Melosira_unclassified","Melosira_unclassified","Melosira_unclassified","Melosira_unclassified"
"ASV997","root","Main genome","Eukaryota","SAR","Stramenopiles","Stramenopiles X","Stramenopiles XX","Stramenopiles XXX","Stramenopiles XXXX","Stramenopiles XXXXX","Stramenopiles XXXXX sp.","Stramenopiles XXXXX sp._unclassified","Stramenopiles XXXXX sp._unclassified","Stramenopiles XXXXX sp._unclassified"
"ASV998","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","CONThreeP","CONThreeP X","CONThreeP XX","Askenasia","Askenasia sp.","Askenasia sp._unclassified","Askenasia sp._unclassified","Askenasia sp._unclassified"
"ASV999","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillaria","Bacillaria paxillifer family incertae sedis","Bacillaria paxillifer genus incertae sedis","Bacillaria paxillifer","Bacillaria paxillifer_unclassified","Bacillaria paxillifer_unclassified","Bacillaria paxillifer_unclassified"
"ASV1000","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV1002","root","Main genome","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales XX","Chlamydomonadales XX sp.","Chlamydomonadales XX sp._unclassified","Chlamydomonadales XX sp._unclassified","Chlamydomonadales XX sp._unclassified","Chlamydomonadales XX sp._unclassified"
"ASV1003","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified","Filosa-Thecofilosea_unclassified"
"ASV1004","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Radial-centric-basal-Coscinodiscophyceae","Radial-centric-basal-Coscinodiscophyceae_unclassified","Radial-centric-basal-Coscinodiscophyceae_unclassified","Radial-centric-basal-Coscinodiscophyceae_unclassified","Radial-centric-basal-Coscinodiscophyceae_unclassified","Radial-centric-basal-Coscinodiscophyceae_unclassified","Radial-centric-basal-Coscinodiscophyceae_unclassified"
"ASV1005","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Desmodorida","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified","Desmodorida_unclassified"
"ASV1006","root","Main genome","Eukaryota","Amorphea","Metazoa","Platyhelminthes","Rhabditophora","Haplopharyngida","Haplopharyngidae","Haplopharynx","Haplopharynx rostratus","Haplopharynx rostratus_unclassified","Haplopharynx rostratus_unclassified","Haplopharynx rostratus_unclassified"
"ASV1007","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Polar-centric-Mediophyceae","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified"
"ASV1008","root","Main genome","Eukaryota","SAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Ebriida","TAGIRI1-lineage","TAGIRI1-lineage X","TAGIRI1-lineage X sp.","TAGIRI1-lineage X sp._unclassified","TAGIRI1-lineage X sp._unclassified","TAGIRI1-lineage X sp._unclassified"
"ASV1009","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Choreotrichida_unclassified","Choreotrichida_unclassified","Choreotrichida_unclassified","Choreotrichida_unclassified","Choreotrichida_unclassified","Choreotrichida_unclassified"
"ASV1010","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV1011","root","Main genome","Eukaryota","Amorphea","Metazoa","Gastrotricha","Chaetonotida class incertae sedis","Chaetonotida","Chaetonotida_unclassified","Chaetonotida_unclassified","Chaetonotida_unclassified","Chaetonotida_unclassified","Chaetonotida_unclassified","Chaetonotida_unclassified"
"ASV1012","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Eugregarinorida EUG3","Eugregarinorida EUG3_unclassified","Eugregarinorida EUG3_unclassified","Eugregarinorida EUG3_unclassified","Eugregarinorida EUG3_unclassified","Eugregarinorida EUG3_unclassified"
"ASV1013","root","Main genome","Eukaryota","Archaeplastida","Rhodophyta","Rhodophyta (phylum)","Florideophyceae","Acrochaetiales","Acrochaetiales X","Acrochaetiales X_unclassified","Acrochaetiales X_unclassified","Acrochaetiales X_unclassified","Acrochaetiales X_unclassified","Acrochaetiales X_unclassified"
"ASV1014","root","Main genome","Eukaryota","Amorphea","Metazoa","Nematoda","Chromadorea","Monhysterida","Linhomoeidae","Linhomoeidae_unclassified","Linhomoeidae_unclassified","Linhomoeidae_unclassified","Linhomoeidae_unclassified","Linhomoeidae_unclassified"
"ASV1015","root","Main genome","Eukaryota","Amorphea","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Eurotiales_unclassified","Eurotiales_unclassified","Eurotiales_unclassified","Eurotiales_unclassified","Eurotiales_unclassified","Eurotiales_unclassified"
"ASV1016","root","Main genome","Eukaryota","Amorphea","Metazoa","Arthropoda","Maxillopoda","Harpacticoida","Canthocamptidae","Mesochra","Mesochra_unclassified","Mesochra_unclassified","Mesochra_unclassified","Mesochra_unclassified"
"ASV1017","root","Main genome","Eukaryota","SAR","Stramenopiles","Pseudofungi","Oomycota","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified","Oomycota_unclassified"
"ASV1018","root","Main genome","Eukaryota","SAR","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified","Eugregarinorida_unclassified"
"ASV1019","root","Main genome","Eukaryota","SAR","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Tintinnida_unclassified","Tintinnida_unclassified","Tintinnida_unclassified","Tintinnida_unclassified","Tintinnida_unclassified","Tintinnida_unclassified"
